phase	phaseDuration.ms	peakForce.mN	minimumForce.mN	forceChange.mN	meanForce.mN	sdForce.mN	meanForceRate.mNps	peakForceRate.mNps	peakPosition.mm	positionChange.mm	meanPosition.mm	sdPosition.mm	meanVelocity.mmps	peakVelocity.mmps	heldForce.mN	heldPosition.mm	condition	targetForce.mN	targetRampTime.ms	positionLimit.mm	sourceFile	PID	UpperThreshold	LowerThreshold	outliers
hold	230.5	610.0195524677194	247.06382934906728	362.95572311865214	578.3584726108915	80.63323950074832	1509.43413269477	17487.91619654605	3.7853921097136545	1.3065681494709516	3.589822165121592	3.589822165121592	5.696162937034631	48.95008099616582	573.8407411054692	3.4205696902737044	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_390_2.ddf	P02	660	540	exclude
hold	227	612.4473199976582	315.89012999698963	296.5571900006685	584.3727101014972	65.74176708234931	976.3241034931962	16291.092382515444	4.367862729185237	1.7036892282020195	4.050973311036261	4.050973311036261	7.107393773635788	80.24317005506809	581.8649950111441	7.599572314364389	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_40_2.ddf	P02	660	540	exclude
hold	230	610.4714112418143	256.03429933858604	354.43711190322824	579.2282441473367	78.8253050050372	1473.8944996037594	17050.36650262946	3.5548241308997723	1.4039072997271007	3.341296539340449	3.341296539340449	6.142074688405527	50.078267631810114	575.0349737959106	3.7646716760567593	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_410_2.ddf	P02	660	540	exclude
hold	228.5	611.4733908581409	275.28283707277797	336.1905537853629	581.3526520125265	73.83250445172622	1430.3548654638084	15583.284284225443	4.150672636550324	1.6715617778614882	3.894454346694189	3.894454346694189	7.362148259254868	56.94941925339414	577.035154306941	4.307458470055802	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_440_2.ddf	P02	660	540	exclude
hold	229	610.9518779406915	267.81284339828204	343.13903454240943	580.6495009847738	75.55599479746988	1418.748659372344	16914.074538606088	3.8902785614810664	1.433557976059621	3.673814653522357	3.673814653522357	6.2845596166581	52.757736699056146	576.3149424305774	4.07673338142658	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_450_2.ddf	P02	660	540	exclude
hold	230.5	609.1971568987658	243.88077197252144	365.3163849262444	578.7392285915607	78.95273296567161	1180.0779576365426	-25975.29942303447	2.787740814416865	1.1946225817230265	2.5962349995220997	2.5962349995220997	4.9109028793718865	55.25166543402848	575.6949546419472	4.746359129993845	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_480_2.ddf	P02	660	540	exclude
hold	227.5	610.1286246792409	283.64484945613435	326.4837752231066	583.8009266966404	68.03987279317907	826.8332970738936	-33559.66645286708	3.617966614133588	1.331499195201134	3.397199248484509	3.397199248484509	4.7671027462179625	-72.07821638534817	581.5174463121573	7.1679075154008345	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_50_2.ddf	P02	660	540	exclude
hold	229.5	609.6223885860475	255.1530568746167	354.46933171143075	580.6586595548544	74.78124079615834	999.3150361112032	-32515.54133039258	3.1304728292090003	1.238122274023832	2.93737898231398	2.93737898231398	4.836108792214023	61.95705208859259	577.9899470676356	5.700443610022969	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_500_2.ddf	P02	660	540	exclude
hold	227.5	609.1260718340376	268.1427536592518	340.9833181747858	583.8108317534964	67.8379044447413	686.0329810878121	-48646.320952491464	3.17824162549141	1.0442095498765425	3.030317937659036	3.030317937659036	3.651098184826038	-72.4410047549231	581.9426879407085	7.380808832450247	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_510_2.ddf	P02	660	540	exclude
hold	230	609.1906016090941	245.4676511018432	363.72295050725086	579.4623215888016	77.58375309344842	1136.3614074530817	-28517.218994645988	2.8728442411765016	1.1395813300227626	2.7053522125217637	2.7053522125217637	4.4904364350473704	57.97511055971816	576.4826126388166	4.91832475839497	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_540_2.ddf	P02	660	540	exclude
hold	230	609.2323859557617	245.93535497771828	363.2970309780435	579.5152681929325	77.36269434362882	1114.3149557404793	-29496.901222392695	2.850611585362257	1.071612796337163	2.7051310308800716	2.7051310308800716	4.175267588599369	56.9569551918061	576.5106935202622	4.945897233932509	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_560_2.ddf	P02	660	540	exclude
hold	231	609.5082455039307	241.6359856932612	367.87225981066945	577.5296732158766	82.20518307125457	1501.4910845646953	18255.130478084084	2.879250792301519	1.1789787069189197	2.714813275484699	2.714813275484699	5.132153531469424	45.64185423032852	573.3130725543682	3.286033944520097	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_570_2.ddf	P02	660	540	exclude
hold	229.5	609.341143579091	256.18381382175437	353.1573297573366	579.8641348648421	76.06164930340971	1117.3676770729694	-25206.59490083858	1.88647029248314	1.2886931023493575	1.6873852417137936	1.6873852417137936	4.907660798209007	64.48424513552476	577.3308900190164	5.230011671415381	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_580_2.ddf	P02	660	540	exclude
hold	231	609.5542497248073	242.01238755350548	367.5418621713018	577.5569822716185	82.1256380566221	1484.0596768447242	18431.106165173675	2.913378341982855	1.1921907744699791	2.743786346824269	2.743786346824269	5.192126745172837	46.390122410064016	573.4571296942828	3.409058385915838	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_600_2.ddf	P02	660	540	exclude
hold	228.5	609.6078655309261	283.92868676509795	325.67917876582817	582.0674693398416	71.08698537195376	1030.149230972611	-21564.027260385843	4.082978707326518	1.457839091608995	3.834651497297673	3.834651497297673	5.932714483708162	64.60941854478276	579.1198742997013	6.342768292430346	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_620_2.ddf	P02	660	540	exclude
hold	227.5	609.1646215114868	266.9286882226344	342.2359332888524	583.9887704094274	67.13457408989078	603.3338253355331	-54006.043846766144	3.006575451345274	1.004044138777321	2.8629948389554327	2.8629948389554327	3.610498825060601	-70.44773063049004	582.3237564694612	7.670711258726112	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_630_2.ddf	P02	660	540	exclude
hold	229	609.045174521855	261.94102390156456	347.1041506202904	581.2449916403967	73.6512278874838	1028.3065293195948	-29725.680762473305	3.3978345568390673	1.1602182428364514	3.226930749280306	3.226930749280306	4.546229980291774	57.64281001584681	578.3323781080543	5.73819166254704	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_650_2.ddf	P02	660	540	exclude
hold	231	609.4660023289155	242.98916953323015	366.47683279568525	577.6118465032008	82.04111350268911	1476.633982062986	18537.108822759365	3.027374174907381	1.1918743560153435	2.8602010128030053	2.8602010128030053	5.193620782572547	46.93843208562942	573.4289137106881	3.4315082223175537	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_680_2.ddf	P02	660	540	exclude
hold	228	609.3213760577682	270.85396092564065	338.4674151321276	582.9898508503713	69.56850187383759	815.4812063993055	-38239.32018034816	3.553283824541882	1.2238524421092607	3.360370374678997	3.360370374678997	4.441173000527595	-69.14006530520655	580.6078922099072	6.8785995358578305	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_690_2.ddf	P02	660	540	exclude
hold	194	612.3958294120557	605.8366726196521	6.559156792403655	606.1978220231415	0.7810705542152012	-29.2246888501761	-1242.9107690704768	3.2485272772545044	0.4296976993821184	3.121900719977346	3.121900719977346	2.246448182806561	15.174389047944103	602.1092410519237	3.763055381534296	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_70_2.ddf	P02	660	540	include
hold	228.5	608.8973210200622	266.45607271782444	342.4412483022378	582.2645016637765	71.08036524094217	866.9849247799618	-36395.54570975599	3.5301509365841444	1.1958162830790338	3.3408455006245936	3.3408455006245936	4.398661237255978	-65.30834126121299	579.6169216732719	6.464513508678635	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_720_2.ddf	P02	660	540	exclude
hold	228	608.8477996555278	283.8761194365077	324.9716802190201	582.7986701059365	69.55745904470972	955.8056225726616	-25881.90616368854	4.041762590802901	1.334019130173881	3.8231062060420617	3.8231062060420617	5.141060906070439	59.4147442261157	579.9356262852925	6.600091606048288	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_730_2.ddf	P02	660	540	exclude
hold	229	608.884246385198	257.3161826665601	351.5680637186379	581.2105170542773	73.74997981607993	989.6836630423496	-32816.81198365902	3.2069108095459176	1.1723693699711073	3.036062895467787	3.036062895467787	4.414380440810526	62.138633255468534	578.4636012841851	5.785461316480781	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_760_2.ddf	P02	660	540	exclude
hold	229.5	609.1258915486582	257.2544203636658	351.87147118499234	580.0521874838732	75.366183386716	1050.3124665952953	-27702.90022370898	1.885465026460507	1.236183142733195	1.7057270273952785	1.7057270273952785	4.525613263240816	68.06433071306772	577.5870104375712	5.404869151001606	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_770_2.ddf	P02	660	540	exclude
hold	228.5	608.7803545682922	260.4372063554029	348.3431482128893	581.9889924431534	72.03553227053608	918.3183949272412	-37004.362975077696	3.2038730743041666	1.1040730702052977	3.0471681202572	3.0471681202572	4.02278076174935	61.72950225124385	579.4265439991468	6.1511891535866265	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_780_2.ddf	P02	660	540	exclude
